"vtex_table","Descrição","channel_sap","documentType","payerCode","intermediatorCnpj","ObS","intermediatorCnpjOriginal"
"10","10 - Compra Certa","4764730","30","4757142","35703458000191","OK","59105999000186"
"11","11 - Creditas","4764718","31","4789119","17770708000124","OK","17770708000124"
"12","12 - Vivo","4764730","30","4757142","35703458000191","OK","19112842000163"
"13","13 - Buscapé e Zoom","4764730","30","4789420","09083175000346","OK","09083175000346"
"14","14 - Super Muffato","4764730","30","4757142","35703458000191","OK","76430438000171"
"15","15 - FastShop","4764728","30","4789422","43708379000100","OK","43708379000100"
"16","16 - Novo Mundo","4764730","30","4789423","01534080000128","OK","01534080000128"
"20","20 - Banco Inter","4764715","31","4789424","35502377000123","OK","35502377000123"
"25","25 - Itaú Correntistas","4764716","31","4757142","35703458000191","OK","17192451000170"
"26","26 - Shopping Senff","4764730","30","4789427","42227623000141","OK","42227623000141"
"30","30 - LTM","4764722","31","4789428","08845775000170","OK","08845775000170"
"31","31 - Camicado","4764730","30","4757142","35703458000191","OK","03002339000115"
"32","32 - Kabum","4764730","30","4789440","05570714000159","OK","05570714000159"
"33","33 - Netshoes","4764730","30","4789441","09339936000116","OK","09339936000116"
"34","34 - Claro","4764730","30","4757142","35703458000191","OK","19112842000163"
"35","35 - C&A","4764730","30","4789443","45242914000105","OK","45242914000105"
"36","36 - Polishop","4764730","30","4757142","35703458000191","OK","00436042004752"
"37","37 - Leroy Merlin","4764730","30","4789444","01438784006561","OK","01438784006561"
"38","38 - Cassol","4764730","30","4789445","75400218002771","OK","75400218002771"
"39","39 - Shopfácil - Aberto","4764730","30","4757142","35703458000191","OK","14370342000108"
"4","4 - B2W","4764724","30","4789113","00776574000660","OK","00776574000660"
"40","40 - Shopfácil - Fechado","4764717","31","4757142","35703458000191","OK","14370342000108"
"41","41 - Sublimity","4764730","30","4789446","37570726000170","OK","37570726000170"
"43","43 - Riachuelo","4764730","30","4789447","33200056000149","OK","33200056000149"
"44","44 - Banco Next","4764718","31","4789448","15011336000127","OK","15011336000127"
"46","46 - Amazon","4764727","30","4789449","15436940000103","OK","15436940000103"
"5","5 - Mercado Livre Classic","4764726","30","4789114","03007331000141","OK","03007331000141"
"5","5 - Mercado Livre Premium","4764726","30","4789114","03007331000141","OK","03007331000141"
"6","6 - Via Varejo","4764723","30","4789115","33041260199572","OK","33041260199572"
"7","7 - Ricardo Eletro","4764730","30","?","13481309019535","Não mapear","13481309019535"
"8","8 - Carrefour","4764729","30","4789117","45543915000181","OK","45543915000181"
"9","9 - Magazine Luiza","4764725","30","4789118","47960950000121","OK","47960950000121"
